,Country,Year,Delta GDP (%)
0,Switzerland,2015 a 2016 (%),9.367637897329795
1,Iceland,2015 a 2016 (%),9.5475766324713
2,Denmark,2015 a 2016 (%),8.7741799197272
3,Norway,2015 a 2016 (%),8.11788896504455
4,Canada,2015 a 2016 (%),8.584849467311084
5,Finland,2015 a 2016 (%),8.969579538849072
6,Netherlands,2015 a 2016 (%),10.17270429654591
7,Sweden,2015 a 2016 (%),9.018479999399286
8,New Zealand,2015 a 2016 (%),8.837127453646666
9,Australia,2015 a 2016 (%),8.312212240735484
10,Israel,2015 a 2016 (%),8.879428929568544
11,Costa Rica,2015 a 2016 (%),11.823850676934011
12,Austria,2015 a 2016 (%),8.461521204280498
13,Mexico,2015 a 2016 (%),9.263723126972012
14,United States,2015 a 2016 (%),8.135474109185314
15,Brazil,2015 a 2016 (%),10.833231421466705
16,Luxembourg,2015 a 2016 (%),8.54333049855811
17,Ireland,2015 a 2016 (%),11.037007096020822
18,Belgium,2015 a 2016 (%),8.989769234298283
19,United Arab Emirates,2015 a 2016 (%),10.246834866563436
20,United Kingdom,2015 a 2016 (%),10.775681672812842
21,Oman,2015 a 2016 (%),
22,Venezuela,2015 a 2016 (%),8.56412319007125
23,Singapore,2015 a 2016 (%),8.127554439961626
24,Panama,2015 a 2016 (%),11.238987146577895
25,Germany,2015 a 2016 (%),9.032923670100601
26,Chile,2015 a 2016 (%),9.894774872420165
27,Qatar,2015 a 2016 (%),7.9181505188059775
28,France,2015 a 2016 (%),9.164331888118449
29,Argentina,2015 a 2016 (%),9.288948372583095
30,Czech Republic,2015 a 2016 (%),11.040899760810197
31,Uruguay,2015 a 2016 (%),11.294576418062285
32,Colombia,2015 a 2016 (%),12.16076463352238
33,Thailand,2015 a 2016 (%),12.659013341607196
34,Saudi Arabia,2015 a 2016 (%),6.744971012103962
35,Spain,2015 a 2016 (%),9.139020087634432
36,Malta,2015 a 2016 (%),8.317044889845949
37,Taiwan Province of China,2015 a 2016 (%),8.234829354443907
38,Kuwait,2015 a 2016 (%),4.048332925840614
39,Suriname,2015 a 2016 (%),10.199529808909503
40,Trinidad & Tobago,2015 a 2016 (%),9.398182913444963
41,El Salvador,2015 a 2016 (%),14.277866429487007
42,Guatemala,2015 a 2016 (%),11.939157377972709
43,Uzbekistan,2015 a 2016 (%),16.360445259629365
44,Slovakia,2015 a 2016 (%),9.48062725102874
45,Japan,2015 a 2016 (%),8.603648267938357
46,South Korea,2015 a 2016 (%),9.22939716055633
47,Ecuador,2015 a 2016 (%),12.620078238929654
48,Bahrain,2015 a 2016 (%),8.799178098749017
49,Italy,2015 a 2016 (%),8.297232923573716
50,Bolivia,2015 a 2016 (%),16.569063449429787
51,Moldova,2015 a 2016 (%),16.36556318126765
52,Paraguay,2015 a 2016 (%),17.619266960584334
53,Kazakhstan,2015 a 2016 (%),9.522155112512687
54,Slovenia,2015 a 2016 (%),9.66176644331549
55,Lithuania,2015 a 2016 (%),10.631695475188074
56,Nicaragua,2015 a 2016 (%),16.955752212389363
57,Peru,2015 a 2016 (%),10.6455303880292
58,Belarus,2015 a 2016 (%),9.564694937592066
59,Poland,2015 a 2016 (%),10.688108036071231
60,Malaysia,2015 a 2016 (%),11.251177924363919
61,Croatia,2015 a 2016 (%),9.602416538880787
62,Libya,2015 a 2016 (%),-5.706836360422463
63,Russia,2015 a 2016 (%),8.318976126015265
64,Jamaica,2015 a 2016 (%),10.235938695426828
65,North Cyprus,2015 a 2016 (%),8.555038657020342
66,Cyprus,2015 a 2016 (%),9.14140034598927
67,Algeria,2015 a 2016 (%),12.06975481480692
68,Kosovo,2015 a 2016 (%),12.473174626940153
69,Turkmenistan,2015 a 2016 (%),12.69731968658383
70,Mauritius,2015 a 2016 (%),13.508202578378548
71,"Hong Kong S.A.R., China",2015 a 2016 (%),8.99396842803959
72,Estonia,2015 a 2016 (%),11.104936878114868
73,Indonesia,2015 a 2016 (%),14.822461274705123
74,Vietnam,2015 a 2016 (%),17.117501898253586
75,Turkey,2015 a 2016 (%),9.796603140492754
76,Kyrgyzstan,2015 a 2016 (%),18.16648393354139
77,Nigeria,2015 a 2016 (%),14.947657981202722
78,Bhutan,2015 a 2016 (%),10.679888891773315
79,Azerbaijan,2015 a 2016 (%),9.751047475803066
80,Pakistan,2015 a 2016 (%),15.573619065213373
81,Jordan,2015 a 2016 (%),10.504667509257404
82,Montenegro,2015 a 2016 (%),10.673453888626593
