,2015,2016,2017,2018,2019,Delta
Benin,155.0,153.0,143.0,136.0,102.0,53.0
Ivory Coast,151.0,139.0,128.0,107.0,99.0,52.0
Honduras,105.0,104.0,91.0,72.0,59.0,46.0
Hungary,104.0,91.0,75.0,69.0,62.0,42.0
Gabon,143.0,134.0,118.0,103.0,104.0,39.0
Romania,86.0,71.0,57.0,52.0,48.0,38.0
Burkina Faso,152.0,145.0,134.0,121.0,115.0,37.0
Bulgaria,134.0,129.0,105.0,100.0,97.0,37.0
Cameroon,133.0,114.0,107.0,99.0,96.0,37.0
Congo (Brazzaville),139.0,127.0,124.0,114.0,103.0,36.0
Cambodia,145.0,140.0,129.0,120.0,109.0,36.0
Latvia,89.0,68.0,54.0,53.0,53.0,36.0
Guinea,150.0,151.0,149.0,140.0,118.0,32.0
Tajikistan,106.0,100.0,96.0,88.0,74.0,32.0
Senegal,142.0,128.0,115.0,109.0,111.0,31.0
Niger,144.0,142.0,135.0,134.0,114.0,30.0
Kosovo,69.0,77.0,78.0,66.0,46.0,23.0
Portugal,88.0,94.0,89.0,77.0,66.0,22.0
Nepal,121.0,107.0,99.0,101.0,100.0,21.0
Dominican Republic,98.0,89.0,86.0,83.0,77.0,21.0
Philippines,90.0,82.0,72.0,71.0,69.0,21.0
Greece,102.0,99.0,87.0,79.0,82.0,20.0
Poland,60.0,57.0,46.0,42.0,40.0,20.0
Togo,158.0,155.0,150.0,139.0,139.0,19.0
Estonia,73.0,72.0,66.0,63.0,55.0,18.0
Cyprus,67.0,69.0,65.0,61.0,49.0,18.0
Bosnia and Herzegovina,96.0,87.0,90.0,93.0,78.0,18.0
Mongolia,100.0,101.0,100.0,94.0,83.0,17.0
Chad,149.0,144.0,137.0,131.0,132.0,17.0
Serbia,87.0,86.0,73.0,78.0,70.0,17.0
Ghana,114.0,124.0,131.0,108.0,98.0,16.0
Guatemala,43.0,39.0,29.0,30.0,27.0,16.0
Malta,37.0,30.0,27.0,22.0,22.0,15.0
Pakistan,81.0,92.0,80.0,75.0,67.0,14.0
Lithuania,56.0,60.0,52.0,50.0,42.0,14.0
Mauritius,71.0,66.0,64.0,55.0,57.0,14.0
Italy,50.0,50.0,48.0,47.0,36.0,14.0
Taiwan Province of China,38.0,34.0,33.0,26.0,25.0,13.0
Lebanon,103.0,93.0,88.0,80.0,91.0,12.0
Bahrain,49.0,42.0,41.0,43.0,37.0,12.0
Nicaragua,57.0,48.0,43.0,41.0,45.0,12.0
Burundi,157.0,157.0,154.0,156.0,145.0,12.0
Slovenia,55.0,63.0,62.0,51.0,44.0,11.0
Georgia,130.0,126.0,125.0,128.0,119.0,11.0
Armenia,127.0,121.0,121.0,129.0,116.0,11.0
Czech Republic,31.0,27.0,23.0,21.0,20.0,11.0
Mali,138.0,135.0,127.0,118.0,128.0,10.0
Germany,26.0,16.0,16.0,15.0,17.0,9.0
Montenegro,82.0,88.0,83.0,81.0,73.0,9.0
Macedonia,93.0,95.0,92.0,89.0,84.0,9.0
Jamaica,65.0,73.0,76.0,56.0,56.0,9.0
South Africa,113.0,116.0,101.0,105.0,106.0,7.0
Slovakia,45.0,45.0,40.0,39.0,38.0,7.0
El Salvador,42.0,46.0,45.0,40.0,35.0,7.0
Saudi Arabia,35.0,34.0,37.0,33.0,28.0,7.0
Syria,156.0,156.0,152.0,150.0,149.0,7.0
United Kingdom,21.0,23.0,19.0,11.0,15.0,6.0
Spain,36.0,37.0,34.0,36.0,30.0,6.0
Finland,6.0,5.0,5.0,1.0,1.0,5.0
France,29.0,32.0,31.0,23.0,24.0,5.0
Uganda,141.0,145.0,133.0,135.0,136.0,5.0
Madagascar,147.0,148.0,144.0,143.0,143.0,4.0
Kenya,125.0,122.0,112.0,124.0,121.0,4.0
Austria,13.0,12.0,13.0,12.0,10.0,3.0
Morocco,92.0,90.0,84.0,85.0,89.0,3.0
Uzbekistan,44.0,49.0,47.0,44.0,41.0,3.0
Luxembourg,17.0,20.0,18.0,17.0,14.0,3.0
Ireland,18.0,19.0,15.0,14.0,16.0,2.0
Mauritania,124.0,130.0,123.0,126.0,122.0,2.0
Netherlands,7.0,7.0,6.0,6.0,5.0,2.0
North Cyprus,66.0,62.0,61.0,58.0,64.0,2.0
Rwanda,154.0,152.0,151.0,151.0,152.0,2.0
Trinidad & Tobago,41.0,43.0,38.0,38.0,39.0,2.0
Sri Lanka,132.0,117.0,120.0,116.0,130.0,2.0
Belgium,19.0,18.0,17.0,16.0,18.0,1.0
Denmark,3.0,1.0,2.0,3.0,2.0,1.0
Norway,4.0,4.0,1.0,2.0,3.0,1.0
New Zealand,9.0,8.0,8.0,8.0,8.0,1.0
Chile,27.0,24.0,20.0,25.0,26.0,1.0
Sweden,8.0,10.0,9.0,9.0,7.0,1.0
Costa Rica,12.0,14.0,12.0,13.0,12.0,0.0
Uruguay,32.0,29.0,28.0,31.0,33.0,-1.0
Qatar,28.0,36.0,35.0,32.0,29.0,-1.0
Afghanistan,153.0,154.0,141.0,145.0,154.0,-1.0
United Arab Emirates,20.0,28.0,21.0,20.0,21.0,-1.0
Australia,10.0,9.0,10.0,10.0,11.0,-1.0
Ecuador,48.0,51.0,44.0,48.0,50.0,-2.0
Myanmar,129.0,119.0,114.0,130.0,131.0,-2.0
Palestinian Territories,108.0,108.0,103.0,104.0,110.0,-2.0
Iceland,2.0,3.0,3.0,4.0,4.0,-2.0
Israel,11.0,11.0,11.0,19.0,13.0,-2.0
Egypt,135.0,120.0,104.0,122.0,137.0,-2.0
Turkey,76.0,78.0,69.0,74.0,79.0,-3.0
Russia,64.0,56.0,49.0,59.0,68.0,-4.0
"Hong Kong S.A.R., China",72.0,75.0,71.0,76.0,76.0,-4.0
Canada,5.0,6.0,7.0,7.0,9.0,-4.0
United States,15.0,13.0,14.0,18.0,19.0,-4.0
Switzerland,1.0,2.0,4.0,5.0,6.0,-5.0
Sierra Leone,123.0,111.0,106.0,113.0,129.0,-6.0
Panama,25.0,25.0,30.0,27.0,31.0,-6.0
Kazakhstan,54.0,54.0,60.0,60.0,60.0,-6.0
Peru,58.0,64.0,63.0,65.0,65.0,-7.0
South Korea,47.0,57.0,55.0,57.0,54.0,-7.0
Nigeria,78.0,103.0,95.0,91.0,85.0,-7.0
Iran,110.0,105.0,108.0,106.0,117.0,-7.0
Tanzania,146.0,149.0,153.0,153.0,153.0,-7.0
Congo (Kinshasa),120.0,125.0,126.0,132.0,127.0,-7.0
China,84.0,83.0,79.0,86.0,93.0,-9.0
Mexico,14.0,21.0,25.0,24.0,23.0,-9.0
Kyrgyzstan,77.0,85.0,98.0,92.0,86.0,-9.0
Libya,63.0,67.0,68.0,70.0,72.0,-9.0
Paraguay,53.0,70.0,70.0,64.0,63.0,-10.0
Colombia,33.0,31.0,36.0,37.0,43.0,-10.0
Bolivia,51.0,59.0,58.0,62.0,61.0,-10.0
Singapore,24.0,22.0,26.0,34.0,34.0,-10.0
Azerbaijan,80.0,81.0,85.0,87.0,90.0,-10.0
