,Country,Year,Health (%)
0,Switzerland,2015 a 2016 (%),-8.327756710536105
1,Iceland,2015 a 2016 (%),-8.494049628629297
2,Denmark,2015 a 2016 (%),-9.100887222171405
3,Norway,2015 a 2016 (%),-10.101557822437623
4,Canada,2015 a 2016 (%),-8.616101498404428
5,Finland,2015 a 2016 (%),-8.795312166098679
6,Netherlands,2015 a 2016 (%),-9.019533175036965
7,Sweden,2015 a 2016 (%),-8.74548508568731
8,New Zealand,2015 a 2016 (%),-8.52185783326177
9,Australia,2015 a 2016 (%),-8.626390141268425
10,Israel,2015 a 2016 (%),-7.079781588190881
11,Costa Rica,2015 a 2016 (%),-11.485928836295578
12,Austria,2015 a 2016 (%),-9.520226410008759
13,Mexico,2015 a 2016 (%),-12.647954422670793
14,United States,2015 a 2016 (%),-9.606748743893512
15,Brazil,2015 a 2016 (%),-11.88918538922843
16,Luxembourg,2015 a 2016 (%),-8.00052234095806
17,Ireland,2015 a 2016 (%),-9.02237163950722
18,Belgium,2015 a 2016 (%),-8.596250571559205
19,United Arab Emirates,2015 a 2016 (%),-9.801668211306769
20,United Kingdom,2015 a 2016 (%),-10.94311821690509
21,Oman,2015 a 2016 (%),
22,Venezuela,2015 a 2016 (%),-14.084272469882864
23,Singapore,2015 a 2016 (%),-7.613752743233359
24,Panama,2015 a 2016 (%),-11.079449165840249
25,Germany,2015 a 2016 (%),-8.632520799228583
26,Chile,2015 a 2016 (%),-4.6286266699279155
27,Qatar,2015 a 2016 (%),-10.046028620520985
28,France,2015 a 2016 (%),-11.402108290423884
29,Argentina,2015 a 2016 (%),-11.44773446133912
30,Czech Republic,2015 a 2016 (%),-9.596013399145386
31,Uruguay,2015 a 2016 (%),-11.060867422375553
32,Colombia,2015 a 2016 (%),-13.634060541135263
33,Thailand,2015 a 2016 (%),-12.0988490182803
34,Saudi Arabia,2015 a 2016 (%),-17.713293995140567
35,Spain,2015 a 2016 (%),-8.022017119775649
36,Malta,2015 a 2016 (%),-9.474645236189861
37,Taiwan Province of China,2015 a 2016 (%),-9.099737232948701
38,Kuwait,2015 a 2016 (%),-12.308944435248037
39,Suriname,2015 a 2016 (%),-16.25616573495561
40,Trinidad & Tobago,2015 a 2016 (%),-14.434884439601191
41,El Salvador,2015 a 2016 (%),-12.012637111180013
42,Guatemala,2015 a 2016 (%),-16.121071012805576
43,Uzbekistan,2015 a 2016 (%),-16.076089138727166
44,Slovakia,2015 a 2016 (%),-10.817216293630072
45,Japan,2015 a 2016 (%),-7.688349426400709
46,South Korea,2015 a 2016 (%),-8.176055024964269
47,Ecuador,2015 a 2016 (%),-13.230477394878271
48,Bahrain,2015 a 2016 (%),-12.072380748434075
49,Italy,2015 a 2016 (%),-10.837541646585503
50,Bolivia,2015 a 2016 (%),-12.88946587537092
51,Moldova,2015 a 2016 (%),-15.393200271730334
52,Paraguay,2015 a 2016 (%),-11.805198341856038
53,Kazakhstan,2015 a 2016 (%),-10.847004722843645
54,Slovenia,2015 a 2016 (%),-9.372888924510791
55,Lithuania,2015 a 2016 (%),-11.560551361995408
56,Nicaragua,2015 a 2016 (%),-12.246682993783143
57,Peru,2015 a 2016 (%),-13.726940301573599
58,Belarus,2015 a 2016 (%),-14.270188023040964
59,Poland,2015 a 2016 (%),-11.353863137491505
60,Malaysia,2015 a 2016 (%),-13.851976683150546
61,Croatia,2015 a 2016 (%),-10.508216483725663
62,Libya,2015 a 2016 (%),-25.683432793407224
63,Russia,2015 a 2016 (%),-11.85637868690792
64,Jamaica,2015 a 2016 (%),-13.488311197102155
65,North Cyprus,2015 a 2016 (%),-8.893845554159995
66,Cyprus,2015 a 2016 (%),-8.09476374030924
67,Algeria,2015 a 2016 (%),0.06152252048052809
